Academic_Year,Semester,Section_Number,Department_Program,Course_Prefix,Course_Number,Course_Title,Course,Letter_Grade,Count_of_letter_grade
,,,,,,,,Other,4
,,1960,Business Administration,B A, 281T,MARKETING MANAGEMENT-II,"B A-281T: MARKETING MANAGEMENT-II, Section no. 1960",A,20
,,,,,,,,B,32
,,,,,,,,Other,4
,,1965,Business Administration,B A, 281T,MARKETING MANAGEMENT-III,"B A-281T: MARKETING MANAGEMENT-III, Section no. 1965",A,19
,,,,,,,,B,33
,,,,,,,,Other,5
,,1970,Business Administration,B A, 281T,MARKETING MANAGEMENT-IV,"B A-281T: MARKETING MANAGEMENT-IV, Section no. 1970",A,20
,,,,,,,,B,37
,,1975,Business Administration,B A, 281T,MARKETING MANAGEMENT-TEMBA,"B A-281T: MARKETING MANAGEMENT-TEMBA, Section no. 1975",A,33
,,,,,,,,B,15
,,,,,,,,C,3
,,,,,,,,D,1
,,1980,Business Administration,B A, 381T,MARKETING MANAGEMENT-EMBA,"B A-381T: MARKETING MANAGEMENT-EMBA, Section no. 1980",A,37
,,,,,,,,B,3
,,,,,,,,C,1
,,1985,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-I,"B A-284T: FINANCIAL ACCOUNTING-I, Section no. 1985",A,26
,,,,,,,,B,32
,,1990,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-I-DAL,"B A-284T: FINANCIAL ACCOUNTING-I-DAL, Section no. 1990",A,26
,,,,,,,,B,21
,,,,,,,,Other,1
,,1995,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-I-HOU,"B A-284T: FINANCIAL ACCOUNTING-I-HOU, Section no. 1995",A,18
,,,,,,,,B,19
,,,,,,,,Other,1
,,2000,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-II,"B A-284T: FINANCIAL ACCOUNTING-II, Section no. 2000",A,29
,,,,,,,,B,26
,,2005,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-II-DAL,"B A-284T: FINANCIAL ACCOUNTING-II-DAL, Section no. 2005",A,23
,,,,,,,,B,23
,,,,,,,,Other,2
,,2010,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-II-HOU,"B A-284T: FINANCIAL ACCOUNTING-II-HOU, Section no. 2010",A,15
,,,,,,,,B,23
,,,,,,,,Other,1
,,2015,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-III,"B A-284T: FINANCIAL ACCOUNTING-III, Section no. 2015",A,28
,,,,,,,,B,29
,,2020,Business Administration,B A, 284T,FINANCIAL ACCOUNTING-IV,"B A-284T: FINANCIAL ACCOUNTING-IV, Section no. 2020",A,25
,,,,,,,,B,32
,,2025,Business Administration,B A, 384T,FINANCIAL ACCOUNTING-EMBA-WB,"B A-384T: FINANCIAL ACCOUNTING-EMBA-WB, Section no. 2025",A,20
,,,,,,,,B,21
,,,,,,,,Other,1
,,2030,Business Administration,B A, 285T,FINANCIAL MANAGEMENT-I,"B A-285T: FINANCIAL MANAGEMENT-I, Section no. 2030",A,24
,,,,,,,,B,34
,,2035,Business Administration,B A, 285T,FINANCIAL MANAGEMENT-I-DAL,"B A-285T: FINANCIAL MANAGEMENT-I-DAL, Section no. 2035",A,24
,,,,,,,,B,22
,,,,,,,,Other,2
